scene,dur,scene_a,scene_b,cor_resp,jitter,path,cond,Instructions5.thisRepN,Instructions5.thisTrialN,Instructions5.thisN,Instructions5.thisIndex,Int_All_Runs.thisRepN,Int_All_Runs.thisTrialN,Int_All_Runs.thisN,Int_All_Runs.thisIndex,Int_Run.thisRepN,Int_Run.thisTrialN,Int_Run.thisN,Int_Run.thisIndex,key_resp_8.keys,key_resp_8.rt,Resp.keys,Resp.corr,Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
10.png,6.100982039602735,1.png,12.png,k,5.186623246314277,blue,No_Int,,,,,0,0,0,0,0,0,0,0,space,42.034493818000556,k,1,2.228362185000151,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
7.png,8.585926312329137,1.png,13.png,j,6.098891039106137,blue,No_Int,,,,,0,0,0,0,0,1,1,1,,,k,0,2.748827387000347,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
9.png,6.026550673352332,15.png,4.png,k,6.216965590076885,blue,No_Int,,,,,0,0,0,0,0,2,2,2,,,k,1,1.4735619889997906,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
5.png,7.239611422000857,15.png,9.png,k,5.674093308366434,blue,No_Int,,,,,0,0,0,0,0,3,3,3,,,k,1,2.2603045590003603,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
13.png,7.13203471210347,7.png,3.png,j,5.081317578279981,blue,No_Int,,,,,0,0,0,0,0,4,4,4,,,j,1,1.7766774130004706,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
3.png,8.958130516691195,10.png,11.png,k,5.719818341375535,blue,No_Int,,,,,0,0,0,0,0,5,5,5,,,k,1,1.9154314529996554,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
11.png,8.686361398974004,7.png,10.png,k,5.859106579674523,blue,No_Int,,,,,0,0,0,0,0,6,6,6,,,j,0,2.79217306999999,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
16.png,5.796010980271586,10.png,11.png,k,6.666046116228873,blue,No_Int,,,,,0,0,0,0,0,7,7,7,,,k,1,1.2924226889999773,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
4.png,7.073338091032307,12.png,13.png,k,6.078831886115613,green,Int,,,,,0,0,0,0,0,8,8,8,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
8.png,6.246127732782798,12.png,13.png,k,6.292713833294536,green,Int,,,,,0,0,0,0,0,9,9,9,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
6.png,6.918196889457166,8.png,4.png,k,6.220378929660264,green,Int,,,,,0,0,0,0,0,10,10,10,,,k,1,2.138343157000236,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
10.png,6.124332322065105,3.png,6.png,j,5.925318716528296,green,Int,,,,,0,0,0,0,0,11,11,11,,,j,1,1.560297800000626,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
11.png,8.241765719898208,5.png,1.png,k,6.636761827970439,green,Int,,,,,0,0,0,0,0,12,12,12,,,k,1,2.641724257000533,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
5.png,6.445181321441465,2.png,6.png,k,5.236630262288671,green,Int,,,,,0,0,0,0,0,13,13,13,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
2.png,7.255849322890946,15.png,9.png,k,6.006890202243976,green,Int,,,,,0,0,0,0,0,14,14,14,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
16.png,6.883394044502394,3.png,7.png,k,6.904522010038683,green,Int,,,,,0,0,0,0,0,15,15,15,,,k,1,1.8560581459996683,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
15.png,6.150024155671511,11.png,13.png,k,5.394097852394467,green,Int,,,,,0,0,0,0,0,16,16,16,,,k,1,0.7216187140002148,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
12.png,8.525885979082055,10.png,1.png,k,6.114672953766352,green,Int,,,,,0,0,0,0,0,17,17,17,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
9.png,5.457163016052048,12.png,11.png,j,6.52050447078943,green,Int,,,,,0,0,0,0,0,18,18,18,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
1.png,6.646322517852998,10.png,3.png,j,6.540114203250075,green,Int,,,,,0,0,0,0,0,19,19,19,,,j,1,1.6437885920004192,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
7.png,7.190757945595411,10.png,5.png,j,5.702043066019045,green,Int,,,,,0,0,0,0,0,20,20,20,,,j,1,1.6742102990001513,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
14.png,7.159323353951709,13.png,15.png,k,6.00761775222089,green,Int,,,,,0,0,0,0,0,21,21,21,,,k,1,2.221814909999921,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
3.png,7.865841951070133,14.png,6.png,k,6.700407254378128,green,Int,,,,,0,0,0,0,0,22,22,22,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
13.png,8.121902375503177,7.png,11.png,k,5.797614221375182,green,Int,,,,,0,0,0,0,0,23,23,23,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
4.png,8.80861566639702,5.png,14.png,j,5.283242728808966,blue,No_Int,,,,,1,0,1,0,0,0,0,0,,,j,1,2.3949454769999647,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
15.png,8.932953945569771,9.png,2.png,k,6.494407709619703,blue,No_Int,,,,,1,0,1,0,0,1,1,1,,,k,1,1.796014028999707,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
12.png,5.043093472400539,16.png,3.png,k,6.650178687356389,blue,No_Int,,,,,1,0,1,0,0,2,2,2,,,None,0,,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
6.png,8.76840668433797,8.png,4.png,k,6.913954025409995,blue,No_Int,,,,,1,0,1,0,0,3,3,3,,,k,1,1.1404734170000665,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
8.png,6.244379226293402,9.png,6.png,j,5.015835669859865,blue,No_Int,,,,,1,0,1,0,0,4,4,4,,,j,1,1.29896406700027,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
1.png,5.353167895321963,7.png,12.png,k,6.916512614802533,blue,No_Int,,,,,1,0,1,0,0,5,5,5,,,j,0,2.220157439999639,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
2.png,7.924725251342677,5.png,6.png,j,6.768133060157257,blue,No_Int,,,,,1,0,1,0,0,6,6,6,,,j,1,2.1960874139995212,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
14.png,5.008012822299062,15.png,4.png,k,5.903377522185842,blue,No_Int,,,,,1,0,1,0,0,7,7,7,,,k,1,1.5589580569994723,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
12.png,8.574060857740713,10.png,11.png,k,5.611654820419641,green,Int,,,,,1,0,1,0,0,8,8,8,,,k,1,1.533320050999464,33,001,2019_Oct_27_1520,Integration Scanner Trials,3.0.1,59.99976228089105,
